"iso3c","year","spei","Normal","Severe.Dry","Severe.Wet"
"AFG",2000,-0.423252291491918,0.930555555555556,0.0694444444444444,NA
"AFG",2001,-0.618214969564782,0.982142857142857,0.0171957671957672,0.000661375661375661
"AFG",2002,-0.236627630645479,0.996362433862434,0.00231481481481481,0.00132275132275132
"AFG",2003,0.139353941068496,0.997685185185185,0.000330687830687831,0.00198412698412698
"AFG",2004,-0.144982955558888,0.938492063492063,0.0436507936507936,0.0178571428571429
"AFG",2005,-0.0331591379626217,0.96494708994709,0.0112433862433862,0.0238095238095238
"AFG",2006,-0.199704288268684,0.951719576719577,0.019510582010582,0.0287698412698413
"AFG",2007,-0.0285416567706321,0.980820105820106,0.0102513227513228,0.00892857142857143
"AFG",2008,-0.387044660542316,0.913690476190476,0.0674603174603175,0.0188492063492063
"AFG",2009,0.124632907892562,0.975198412698413,0.00760582010582011,0.0171957671957672
"AFG",2010,-0.243674525975366,0.963624338624339,0.0132275132275132,0.0231481481481481
"AFG",2011,-0.226676812957011,0.995039682539683,0.00496031746031746,NA
"AFG",2012,0.303009578976902,0.992063492063492,NA,0.00793650793650794
"AFG",2013,-0.16666447219304,0.933862433862434,0.0479497354497355,0.0181878306878307
"AFG",2014,-0.414751179470706,0.927579365079365,0.0654761904761905,0.00694444444444444
"AFG",2015,0.168108727673248,0.957010582010582,0.0125661375661376,0.0304232804232804
"AFG",2016,-0.282829757414566,0.930886243386243,0.0578703703703704,0.0112433862433862
"AFG",2017,-0.712628430647606,0.929139072847682,0.0675496688741722,0.0033112582781457
"AFG",2018,-0.717792179699074,0.916666666666667,0.082010582010582,0.00132275132275132
"AGO",2000,0.0220939596541345,0.986361813076615,0.0100280786201364,0.0036101083032491
"AGO",2001,-0.0375250075781898,0.975531488166867,0.0184516646610509,0.00601684717208183
"AGO",2002,-0.0624222812411056,0.947780678851175,0.0387628037758586,0.0134565173729665
"AGO",2003,-0.29313023506996,0.938566552901024,0.0614334470989761,NA
"AGO",2004,0.174744533740105,0.98397114806652,0.0100180324584252,0.0060108194750551
"AGO",2005,-0.230796868192305,0.938390527794501,0.0579971904475216,0.00361228175797712
"AGO",2006,0.128219416048779,0.975536394626028,0.0186484860637658,0.00581511931020654
"AGO",2007,0.146319622516524,0.995592065718293,0.00160288519334803,0.00280504908835905
"AGO",2008,0.151509880588752,0.990182328190743,0.00841514726507714,0.00140252454417952
"AGO",2009,0.147852252697798,0.973151673011421,0.0254458024443999,0.00140252454417952
"AGO",2010,-0.0392818410330338,0.975727181544634,0.0182547642928786,0.00601805416248746
"AGO",2011,0.152069401337511,0.997995590298657,0.00140308679094007,0.000601322910402886
"AGO",2012,0.258392727326557,0.998997795149329,NA,0.00100220485067148
"AGO",2013,0.139265824347657,0.994788534776508,0.00160352776107436,0.00360793746241732
"AGO",2014,0.248958560266871,0.995991983967936,0.000200400801603206,0.00380761523046092
"AGO",2015,0.0224862096718265,0.985568250150331,0.0118260172379234,0.00260573261174584
"AGO",2016,0.0113537960006294,0.979354580076168,0.0102224894768491,0.0104229304469834
"AGO",2017,-0.0935670269928365,0.976305220883534,0.0234939759036145,0.000200803212851406
"AGO",2018,0.106647329188485,0.994187211866105,0.00360793746241732,0.00220485067147725
"ALB",2000,-0.767371964201124,0.972222222222222,0.0277777777777778,NA
"ALB",2001,-0.503204529513217,0.930555555555556,0.0694444444444444,NA
"ALB",2002,0.0763570041550946,0.965277777777778,NA,0.0347222222222222
"ALB",2003,-0.353445170576581,0.965277777777778,0.0138888888888889,0.0208333333333333
"ALB",2004,0.0711060084221472,1,NA,NA
"ALB",2005,0.0543422272571155,1,NA,NA
"ALB",2006,0.0118193413428444,0.993055555555556,NA,0.00694444444444444
"ALB",2007,-0.235272599228968,0.909722222222222,0.0902777777777778,NA
"ALB",2008,-0.259601243034316,1,NA,NA
"ALB",2009,0.352597127125288,0.958333333333333,NA,0.0416666666666667
"ALB",2010,0.361472231051367,0.951388888888889,NA,0.0486111111111111
"ALB",2011,-0.720823560556811,0.979166666666667,0.0208333333333333,NA
"ALB",2012,-0.417041219240572,0.930555555555556,0.0694444444444444,NA
"ALB",2013,-0.218763879713758,1,NA,NA
"ALB",2014,0.5117374036086,0.958333333333333,NA,0.0416666666666667
"ALB",2015,-0.193856517816635,0.868055555555556,0.131944444444444,NA
"ALB",2016,0.0528043079086478,0.916666666666667,0.0833333333333333,NA
"ALB",2017,-0.361671782775429,1,NA,NA
"ALB",2018,-0.342980230972222,0.895833333333333,0.104166666666667,NA
"ARE",2000,-0.338018825301939,0.940972222222222,0.0277777777777778,0.03125
"ARE",2001,-0.638936559996283,0.993055555555556,0.00694444444444444,NA
"ARE",2002,-0.450241030789281,1,NA,NA
"ARE",2003,-0.140920872497696,1,NA,NA
"ARE",2004,-0.384624711747165,0.913194444444444,0.0833333333333333,0.00347222222222222
"ARE",2005,-0.0440741847269236,1,NA,NA
"ARE",2006,0.186272954436491,0.927083333333333,NA,0.0729166666666667
"ARE",2007,-0.269189466563047,1,NA,NA
"ARE",2008,-0.00220466519466654,0.975694444444444,0.0243055555555556,NA
"ARE",2009,-0.0169972324729315,0.972222222222222,0.0173611111111111,0.0104166666666667
"ARE",2010,-0.634054444730282,0.902777777777778,0.0972222222222222,NA
"ARE",2011,0.0661307601516861,1,NA,NA
"ARE",2012,-0.0473207248368353,0.996527777777778,NA,0.00347222222222222
"ARE",2013,0.056088017909335,0.96875,NA,0.03125
"ARE",2014,-0.374266142903959,0.993055555555556,NA,0.00694444444444444
