"Year","ln.prob.nm.flow","id","iso3.Origin","iso3.Dest","est.gdp.Dest","est.gdp.Origin","est.ucdp.b.death.Origin","est.Severe.Dry.Origin","est.Severe.Wet.Origin","spl.id"
"2012",-15.4629304679422,"AFG-PRT","AFG","PRT",9.93138915042115,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-17.2896358276595,"AFG-PRT","AFG","PRT",9.98267028185211,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-17.3231916442713,"AFG-PRT","AFG","PRT",10.0022146499964,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-15.5622030109979,"AFG-PRT","AFG","PRT",9.86492168142409,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-14.3372232165964,"AFG-PRT","AFG","PRT",9.90245708253264,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",NA,"AFG-SVK","AFG","SVK",9.83511731097485,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",NA,"AFG-SVK","AFG","SVK",9.71309373336653,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-13.0783089442335,"AFG-SVK","AFG","SVK",9.72626084144268,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-13.0309593254066,"AFG-SVK","AFG","SVK",9.81806960405609,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-13.143816072997,"AFG-SVK","AFG","SVK",9.76897827871447,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-12.835288531406,"AFG-SVK","AFG","SVK",9.8125237808056,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-12.9924583039849,"AFG-SVK","AFG","SVK",9.83495943322422,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-14.0958659422044,"AFG-SVK","AFG","SVK",9.6996556016729,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-14.9838503815214,"AFG-SVK","AFG","SVK",9.71170157066356,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",-14.7398515628991,"AFG-SVN","AFG","SVN",10.2213715639355,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-14.7638217728071,"AFG-SVN","AFG","SVN",10.1143654063052,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-13.9310862703853,"AFG-SVN","AFG","SVN",10.0652042435874,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-13.1952623766978,"AFG-SVN","AFG","SVN",10.1304690211995,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-13.3228643044459,"AFG-SVN","AFG","SVN",10.0276546224344,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-14.5170471054197,"AFG-SVN","AFG","SVN",10.0646536736227,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-13.06051176723,"AFG-SVN","AFG","SVN",10.0947656326475,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-13.5253210837368,"AFG-SVN","AFG","SVN",9.94667954901852,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-11.3631524398235,"AFG-SVN","AFG","SVN",9.98343687494634,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
